start	end	text
189	689	All right.
729	2530	Welcome to Happy Path Programming.
3571	6692	Let's see, before we get into Trisha Gere, wonderful guest for today.
6712	9974	We've got Winter Tech Forum coming up in a couple of weeks.
9994	11374	Two weeks, exactly, almost.
11715	14256	We're here in Crest, Dubuque, where we have lots of snow.
14376	18298	And you can still sign up, and you might be able to go to the Yurt Dinner.
18458	19018	It's hard to say.
19954	26216	But we've officially released the rest of the places.
26377	29418	But, you know, they can make a last minute call.
29458	30098	It's a good time.
30138	30958	It's going to be fun.
30978	32059	It's a really good time.
32079	33019	Yeah.
33199	37621	And also, just wanted to mention, I have a couple of books on Lean Pub.
38221	40802	There's Atomic Kotlin, and there's on Java 8.
41242	48885	And there's, I mean, increasingly, perhaps poorly chosen title, but people still get a lot out of it.
49961	73500	there the on java a on the on java 81 yeah nice cool right and then uh and trisha welcome and you have a book yes i see um i see your atomic kotlin book on lean pub a lot because when i'm checking the top 10 yours is in the top 10 the minds of number 37 that's really gratifying yes i have a book getting to know intelligent idea which is also on lean pub it's on amazon too but you know lean pub is uh
74261	74661	friendlier.
75202	78423	And you have a hardcover version.
78523	92990	So I did it on Lean Pub because it's a nice platform, self-published, and then when I released it, so I released the first edition, me and Helen actually, released the first edition November before last, and then I felt a bit down after it was done.
93030	94291	I was like, why do I feel down?
94311	96852	Because I can't hold it in my hands.
98193	103856	So then I looked into the KDP staff and so the Kindle Direct publishing, so you can
104336	109459	upload a PDF to Amazon and they'll publish you a paperback in the hardback you want to.
109819	110180	Oh, nice.
110200	110380	Yeah.
110600	111200	Yeah.
111420	125489	I feel down after a book because I realize the nice clear meaning of my life just suddenly stops, you know, but before it's like, okay, we are existing to create the book and then it goes away.
126189	133352	But it is nice to have the physical thing on the shelf behind you, which we're looking at Trisha's book behind her on the shelf.
133452	136754	And Bruce has his books behind him on the shelf.
136854	140715	I actually paid full price for Head First Java because I helped contribute to Head First Java.
140875	146518	And I think my author copies weren't due for ages, so I paid full price so I could physically hop the book.
147018	147858	Yeah, right.
148039	148579	No, it's good.
148759	150860	There's definitely something satisfying about that.
151795	160239	So real quick on that book, it goes into, I'm guessing, IntelliJ and how to use it more effectively and what else?
160259	164881	Because I was doing advocacy for IntelliJ at JetBrains for like seven years.
165342	172965	So at the end of that night, I left a couple of years ago, I'm like, what I really want to sort of download everything from my brain into something that other people can use.
173425	175086	So the book is split into four sections.
175146	176167	The first section is kind of
176947	184216	bit fluffy in terms of like how IntelliJ thinks, like where you need to be looking inside the IDE to look for the stuff that you care about.
184617	187801	The second two sections are all sort of tutorial driven.
187821	194349	And I use TDD with it as well because I wanted to show this is
195330	201334	this is how to get the most out of IntelliJ in terms of like it will do code generation and it will make everything compile.
201474	203916	And so there's two tutorial sections in the middle.
204236	209720	And then the fourth section is actually like half the book, which is like everything else you need to know about IntelliJ.
210320	218045	So it goes into depth about like run configurations and about like tips and tricks for debugging and how best to use the testing functionality.
218145	225210	And I keep thinking about splitting that fourth section out and just having it as a standalone book because it's just got so much useful stuff in there.
225511	225772	Nice.
226634	226955	Yes.
228159	230947	And so you wrote this book even after you left Jet Brands.
231735	237939	We started it, I was trying to remember, because like history or blurs into one, post pandemic, everything is big.
238900	244604	So me and Helen started writing it in my, what was to become my last year at JetBrains.
